_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40
0,0,0,2,9,1366,316,24,47,350,0,3,0,9,05db9164,064c8f31,ee9dd06a,ecd34703,25c83c98,7e0ccccf,2e8a689b,062b5529,a73ee510,efea433b,e51ddf94,ca0011c3,3516f6e6,07d13a8f,f8aab0bc,88aba84c,27c07bd6,3987fb8a,21ddcdc9,a458ea53,9376d3ac,,32c7478e,ad65a526,001f3601,2fede552
0,0,8,,,4910,,,8,,0,,,,05db9164,95e2d337,a0f84563,4ee155c9,25c83c98,3bf701e7,d252d044,37e4aa92,a73ee510,7b136229,efbc225d,f244ab92,9da67560,07d13a8f,4e505ea3,337414b8,e5ba7672,7b06fafe,85684dc0,5840adea,49f11974,,32c7478e,f86b306c,2bf691b1,607ab79a
1,,1,3,20,17647,30,1,1,30,,1,,20,05db9164,f0cf0024,98d504db,dab52c65,25c83c98,fbad5c96,457fd078,0b153874,a73ee510,711ec2bc,5f2b6964,7e014e7c,7a36be10,07d13a8f,d2988321,a1614abe,3486227d,88b0e440,21ddcdc9,5840adea,0e51cc30,,32c7478e,6c1cdd05,ea9a246c,7e6f9939
0,,-1,,,311637,,0,0,1,,0,,,3c9d8785,38a947a1,2ef73c34,cf21074e,25c83c98,fbad5c96,91282309,5b392875,7cc72ec2,6f0d561c,9e511730,3c27afbf,04e4a7e0,f862f261,f336fea0,4a38bc4a,3486227d,d3f6d5f7,,,63870616,,55dd3565,1793a828,,
0,4,64,4,2,1490,50,6,12,27,0,1,,2,05db9164,39dfaa0d,ae06bf90,b125f81c,25c83c98,fbad5c96,753aa291,1f89b562,a73ee510,a384f95f,d20ffd8f,c15e7f3e,6619af2b,1adce6ef,a9a633a3,98334731,e5ba7672,75edcf1f,21ddcdc9,5840adea,845453b6,,3a171ecb,ce327ac7,e8b83407,09dd415c
0,,3,76,10,512444,,0,14,1,,0,,11,5a9ed9b0,08d6d899,666432c5,cd08b588,25c83c98,7e0ccccf,ea98b75d,0b153874,7cc72ec2,5ba3608f,a739bbee,5ea2e48b,79128231,07d13a8f,1a277242,6d922e3b,d4bb7bd8,87c6f83c,,,15fce809,c9d4222a,55dd3565,f96a556f,,
0,,4,7,7,5,,0,7,7,,0,,7,8cf07265,71b67965,3938a8b4,8617eea2,25c83c98,fe6b92e5,a147b50b,0b153874,a73ee510,3b08e48b,ee40d253,9bcab5e5,2b590d5f,b28479f6,ebccecf0,12f96182,776ce399,f0ad6738,,,0fce2a32,c9d4222a,be7c41b4,9f4f09e1,,
0,,75,15,4,5752,72,84,4,93,,17,,4,05db9164,89ddfee8,b4e31d27,c72dae03,25c83c98,fbad5c96,1c86e0eb,0b153874,a73ee510,5a64c137,755e4a50,a478bdab,5978055e,1adce6ef,34cce7d2,76ce6b2d,e5ba7672,5bb2ec8e,07995af6,b1252a9d,a804d41a,,423fab69,43fe299c,f0f449dd,f3b1f00d
1,0,1,,1,2828,136,96,8,42,0,4,,1,05db9164,38d50e09,1efd7f38,9a3cb908,4cf72387,,8108ba36,0b153874,a73ee510,3b08e48b,ad2bc6f4,5292f047,39ccb769,07d13a8f,f5fed91e,1748bb09,e5ba7672,19fec6cc,21ddcdc9,a458ea53,024722f1,,32c7478e,079b4da8,001f3601,c27f155b
0,,2,71,4,98017,,0,4,4,,0,,4,05db9164,207b2d81,eeacb8bd,0aeb9246,25c83c98,7e0ccccf,bc324536,5b392875,7cc72ec2,e5c1c957,2bcfb78f,71ba2014,e6fc496d,1adce6ef,2e2bd969,96d9eea7,e5ba7672,fa0643ee,21ddcdc9,5840adea,4b3516e6,,32c7478e,97350285,001f3601,26d20f88
0,0,42,47,4,13115,797,1,4,41,0,1,,4,8cf07265,38a947a1,16da655e,e3679b95,0942e0a7,7e0ccccf,0b507e32,1f89b562,a73ee510,711ec2bc,1d351a39,74906f90,90a568bc,b28479f6,1f9b2a33,925e59a8,d4bb7bd8,a866c2a1,,,30ec1dcf,,32c7478e,5a3afc28,,
0,,1652,7,4,,,0,4,26,,0,,4,05db9164,942f9a8d,14cc17fc,95de2d41,25c83c98,7e0ccccf,d9aa9d97,0b153874,7cc72ec2,3b08e48b,6e647667,299e7d46,85dbe138,1adce6ef,ae97ecc3,27d77b44,2005abd1,1f868fdd,5b885066,a458ea53,b99c4db6,ad3062eb,32c7478e,3fdb382b,9d93af03,49d68486
0,8,-1,20,12,158,24,8,18,17,2,2,,12,05db9164,e5fb1af3,48c1c1d0,08efeba1,25c83c98,fbad5c96,bdd18dba,0b153874,a73ee510,3b08e48b,f0d6851d,06fd42d9,f2612f23,07d13a8f,b5de5956,44c6ab15,e5ba7672,13145934,19b31d2c,a458ea53,b21423a0,,c7dc6720,3fdb382b,001f3601,49d68486
0,1,3,9,4,34,5,1,4,4,1,1,0,4,05db9164,287130e0,73e60e15,5ad7dd0e,25c83c98,fbad5c96,cc2a83af,1f89b562,a73ee510,4e4e6f9b,12d18ab5,e145958a,4ad8a654,07d13a8f,10040656,d707e487,d4bb7bd8,891589e7,1d04f4a4,5840adea,635d4ac9,,32c7478e,3fdb382b,ea9a246c,49d68486
0,,8,,3,121178,,0,7,4,,0,,3,193445f7,537e899b,5037b88e,9dde01fd,25c83c98,,476fb13b,0b153874,7cc72ec2,bfa8ede3,afa98192,680d7261,3b256bf8,1adce6ef,c535a0ec,c0673b44,e5ba7672,b34aa802,,,e049c839,,32c7478e,6095f986,,
0,,19,1,1,24727,438,1,1,34,,1,,1,5a9ed9b0,4f25e98b,eb243da4,a3661869,25c83c98,fbad5c96,4ac7e86f,0b153874,a73ee510,6f9ed6bb,9925d6d3,4bb956ee,9f2f9c89,b28479f6,99637b25,19254a71,07c540c4,c04ce6df,5e89f4c8,b1252a9d,788a5663,,93bad2c0,9117a34a,001f3601,54ca28ff
0,0,84,,,1604,84,7,47,248,0,1,0,,05db9164,421b43cd,6e59d0c6,29998ed1,384874ce,fe6b92e5,dc7659bd,5b392875,a73ee510,03e48276,e51ddf94,6aaba33c,3516f6e6,b28479f6,2d0bb053,b041b04a,3486227d,2804effd,,,723b4dfd,,3a171ecb,b34f3128,,
